,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A2T1EKT1,A0A2T1EKT1_9CHRO,C7B70_07080,NA,NA,NA,C7B70_07080,Chlorogloea sp. CCALA 695,2107693,Piwi domain-containing protein,UP000238278: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Entophysalidaceae, Chlorogloea, unclassified Chlorogloea, Chlorogloea sp. CCALA 695",NA
A0A0G4H2S4,A0A0G4H2S4_VITBC,Vbra_19453,NA,NA,NA,Vbra_19453,Vitrella brassicaformis (strain CCMP3155),1169540,Uncharacterized protein,UP000041254: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Alveolata, Colpodellida, Vitrellaceae, Vitrella, Vitrella brassicaformis, Vitrella brassicaformis (strain CCMP3155)",NA
A0A1N6LUI7,A0A1N6LUI7_9BURK,SAMN05444172_8893,NA,NA,NA,SAMN05444172_8893,Burkholderia sp. GAS332,1882750,Piwi domain-containing protein,UP000184700: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, unclassified Burkholderia, Burkholderia sp. GAS332",NA
A0A0P0NGR6,A0A0P0NGR6_9SPHI,AQ505_12745,NA,NA,NA,AQ505_12745,Pedobacter sp. PACM 27299,1727164,Piwi domain protein,UP000062859: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, unclassified Pedobacter, Pedobacter sp. PACM 27299",NA
A0A1X7IML5,A0A1X7IML5_9SPHI,SAMN05660862_0975,NA,NA,NA,SAMN05660862_0975,Sphingobacterium psychroaquaticum,561061,Piwi domain-containing protein,UP000192980: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, Sphingobacterium psychroaquaticum",NA
A0A0A2LKJ7,A0A0A2LKJ7_9FLAO,Q763_09550,NA,NA,NA,Q763_09550,Flavobacterium beibuense F44-8,1406840,Piwi domain protein,UP000030129: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, Flavobacterium beibuense, Flavobacterium beibuense F44-8",NA
K1L112,K1L112_9BACT,B879_01244,NA,NA,NA,B879_01244,Cecembia lonarensis LW9,1225176,Piwi domain protein,UP000004478: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Cecembia, Cecembia lonarensis, Cecembia lonarensis LW9",NA
T1H8B3,T1H8B3_RHOPR,NA,NA,NA,NA,NA,Rhodnius prolixus (Triatomid bug),13249,Uncharacterized protein (Fragment),UP000015103: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Prosorrhyncha (bugs), Heteroptera (true bugs), Euheteroptera, Neoheteroptera, Panheteroptera, Cimicomorpha, Reduvioidea, Reduviidae (assassin bugs), Triatominae (kissing bugs), Rhodnius, Rhodnius prolixus (Triatomid bug)",NA
A0A0U3AL92,A0A0U3AL92_9ALTE,AT746_10960,NA,NA,NA,AT746_10960,Lacimicrobium alkaliphilum,1526571,Stem cell self-renewal protein Piwi domain-containing protein,UP000068447: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Lacimicrobium, Lacimicrobium alkaliphilum",NA
A0A1H3A054,A0A1H3A054_9GAMM,SAMN05443545_104311,NA,NA,NA,SAMN05443545_104311,Aidingimonas halophila,574349,Piwi domain-containing protein,UP000198500: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Aidingimonas, Aidingimonas halophila",NA
E0UCX3,E0UCX3_GLOV7,Cyan7822_4528,NA,NA,Cyan7822_4528,NA,Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822)),497965,Stem cell self-renewal protein Piwi domain protein,UP000008206: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Aphanothecaceae, Gloeothece, Gloeothece verrucosa, Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))",NA
K9XZC6,K9XZC6_STAC7,Sta7437_4409,NA,NA,Sta7437_4409,NA,Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437),111780,Stem cell self-renewal protein Piwi,UP000010473: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Pleurocapsales, Dermocarpellaceae, Stanieria, Stanieria cyanosphaera, Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)",NA
B9LVW4,B9LVW4_HALLT,Hlac_2785,NA,NA,NA,Hlac_2785,Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34),416348,Stem cell self-renewal protein Piwi domain protein,UP000000740: Chromosome 2,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, Halorubrum lacusprofundi, Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34)",NA
A0A0C1VHB4,A0A0C1VHB4_9CYAN,QQ91_05540,NA,NA,NA,QQ91_05540,Lyngbya confervoides BDU141951,1574623,Piwi domain-containing protein,UP000031561: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Oscillatoriaceae, Lyngbya, Lyngbya confervoides, Lyngbya confervoides BDU141951",NA
Q31N05,Q31N05_SYNE7,Synpcc7942_1534,NA,NA,Synpcc7942_1534,NA,Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2),1140,Piwi domain-containing protein,UP000002717: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus elongatus, Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2)",NA
A0A0C5JKF3,A0A0C5JKF3_9RHOO,PG1C_04110,NA,NA,NA,PG1C_04110,Rugosibacter aromaticivorans,1565605,Stem cell self-renewal protein Piwi domain-containing protein,UP000061603: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Rugosibacter, Rugosibacter aromaticivorans",NA
R5NJJ8,R5NJJ8_9FIRM,BN730_00742,NA,NA,NA,BN730_00742,Eubacterium sp. CAG:603,1262891,Piwi domain-containing protein,UP000018312: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Eubacteriaceae, Eubacterium, environmental samples, Eubacterium sp. CAG:603",NA
A5D4D9,A5D4D9_PELTS,PTH_0723,NA,NA,PTH_0723,NA,Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI),370438,Piwi domain-containing protein,UP000006556: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Pelotomaculum, Pelotomaculum thermopropionicum, Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI)",NA
Q2JI93,Q2JI93_SYNJB,CYB_2744,NA,NA,CYB_2744,NA,Synechococcus sp. (strain JA-2-3B'a(2-13)) (Cyanobacteria bacterium Yellowstone B-Prime),321332,Piwi domain protein,UP000001938: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, unclassified Synechococcus, Synechococcus sp. (strain JA-2-3B'a(2-13)) (Cyanobacteria bacterium Yellowstone B-Prime)",NA
A0A142Y7A9,A0A142Y7A9_9BACT,VN12_23385,NA,NA,NA,VN12_23385,Pirellula sp. SH-Sr6A,1632865,Piwi domain protein,UP000076398: Chromosome,"cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, Pirellula, unclassified Pirellula, Pirellula sp. SH-Sr6A",NA
A0A432MEQ5,A0A432MEQ5_9BACT,TsocGM_21090,NA,NA,NA,TsocGM_21090,Tautonia sociabilis,2080755,Stem cell self-renewal protein Piwi domain-containing protein,UP000280296: Unassembled WGS sequence,"cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Tautonia, Tautonia sociabilis",NA
A0A372DKU2,A0A372DKU2_9GAMM,D0Y53_08570,NA,NA,NA,D0Y53_08570,Lysobacter sp. WF-2,2303539,Stem cell self-renewal protein Piwi domain-containing protein,UP000262917: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, unclassified Lysobacter, Lysobacter sp. WF-2",NA
A0A3R7KLK4,A0A3R7KLK4_9EURY,ATJ93_2506,NA,NA,NA,ATJ93_2506,Halopiger aswanensis,148449,Uncharacterized protein,UP000283805: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halopiger, Halopiger aswanensis",NA
C1F5Q7,C1F5Q7_ACIC5,ACP_3240,NA,NA,ACP_3240,NA,Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161),240015,PIWI domain protein,UP000002207: Chromosome,"cellular organisms, Bacteria, Acidobacteria, Acidobacteriia, Acidobacteriales, Acidobacteriaceae, Acidobacterium, Acidobacterium capsulatum, Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)",NA
A0A4R3EV39,A0A4R3EV39_9RHIZ,EV561_119104,NA,NA,NA,EV561_119104,Rhizobium sp. BK376,2512149,Piwi domain-containing protein,UP000295383: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, unclassified Rhizobium, Rhizobium sp. BK376",NA
A0A1P8WP90,A0A1P8WP90_9PLAN,Fuma_05536,NA,NA,NA,Fuma_05536,Fuerstia marisgermanicae,1891926,Piwi domain protein,UP000187735: Chromosome,"cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Fuerstia, Fuerstia marisgermanicae",NA
A0A222F7P0,A0A222F7P0_9RHOB,CHH27_18575,NA,NA,NA,CHH27_18575,Labrenzia sp. VG12,2021862,Piwi domain-containing protein,UP000214862: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Labrenzia, unclassified Labrenzia, Labrenzia sp. VG12",NA
A0A1C9VH88,A0A1C9VH88_9BURK,Q5W_14635,NA,NA,NA,Q5W_14635,Hydrogenophaga sp. PBC,795665,Stem cell self-renewal protein Piwi domain-containing protein,UP000005985: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Hydrogenophaga, unclassified Hydrogenophaga, Hydrogenophaga sp. PBC",NA
A0A2T2YMB1,A0A2T2YMB1_9BACT,AHMF7605_25710,NA,NA,NA,AHMF7605_25710,Adhaeribacter arboris,2072846,Piwi domain-containing protein,UP000240357: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Adhaeribacter, Adhaeribacter arboris",NA
A0A329TD61,A0A329TD61_9EURY,DQW50_02565,NA,NA,NA,DQW50_02565,Halorubrum sp. 48-1-W,2249761,Piwi domain-containing protein,UP000251460: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, unclassified Halorubrum, Halorubrum sp. 48-1-W",NA
R1FDF0,R1FDF0_EMIHU,Argonaute EMIHUDRAFT_226029,Argonaute,NA,NA,EMIHUDRAFT_226029,Emiliania huxleyi (Pontosphaera huxleyi),2903,Argonaute,UP000013827: Unassembled WGS sequence,"cellular organisms, Eukaryota, Haptista, Haptophyta, Prymnesiophyceae, Isochrysidales, Noelaerhabdaceae, Emiliania, Emiliania huxleyi (Pontosphaera huxleyi)",NA
A0A101R2A0,A0A101R2A0_9ACTN,AQJ30_06830,NA,NA,NA,AQJ30_06830,Streptomyces longwoodensis,68231,Piwi domain-containing protein,UP000053271: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Streptomycetales, Streptomycetaceae, Streptomyces, Streptomyces longwoodensis",NA
A0A1E3XF49,A0A1E3XF49_9BACT,SCARUB_00631,NA,NA,NA,SCARUB_00631,Candidatus Scalindua rubra,1872076,Piwi domain protein,UP000094056: Unassembled WGS sequence,"cellular organisms, Bacteria, PVC group, Planctomycetes, Candidatus Brocadiae, Candidatus Brocadiales, Candidatus Brocadiaceae, Candidatus Scalindua, Candidatus Scalindua rubra",NA
A0A1U9ND56,A0A1U9ND56_9GAMM,B0D95_14805,NA,NA,NA,B0D95_14805,Cellvibrio sp. PSBB023,1945512,Piwi domain-containing protein,UP000189646: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Cellvibrionaceae, Cellvibrio, unclassified Cellvibrio, Cellvibrio sp. PSBB023",NA
S4RWI0,S4RWI0_PETMA,NA,NA,NA,NA,NA,Petromyzon marinus (Sea lamprey),7757,Argonaute RISC catalytic component 2,UP000245300: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Cyclostomata (jawless vertebrates), Hyperoartia, Petromyzontiformes, Petromyzontidae, Petromyzon, Petromyzon marinus (Sea lamprey)",NA
A0A4R7BQC4,A0A4R7BQC4_9GAMM,C8K91_1011077,NA,NA,NA,C8K91_1011077,Cellvibrio sp. YR554,2135765,Argonaute-like protein,UP000294867: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Cellvibrionaceae, Cellvibrio, unclassified Cellvibrio, Cellvibrio sp. YR554",NA
A0A1H3DGN3,A0A1H3DGN3_9EURY,SAMN04487946_101563,NA,NA,NA,SAMN04487946_101563,Halobellus clavatus,660517,Piwi domain-containing protein,UP000199170: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halobellus, Halobellus clavatus",NA
A0A1Q1FPH0,A0A1Q1FPH0_9EURY,BV210_18415,NA,NA,NA,BV210_18415,Halorientalis sp. IM1011,1932360,Piwi domain-containing protein,UP000187924: Plasmid phos300,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae, Halorientalis, unclassified Halorientalis, Halorientalis sp. IM1011",NA
E0TGY3,E0TGY3_PARBH,PB2503_05757,NA,NA,PB2503_05757,NA,Parvularcula bermudensis (strain ATCC BAA-594 / HTCC2503 / KCTC 12087),314260,Piwi domain-containing protein,UP000001302: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Parvularculales, Parvularculaceae, Parvularcula, Parvularcula bermudensis, Parvularcula bermudensis (strain ATCC BAA-594 / HTCC2503 / KCTC 12087)",NA
A0A259TUP4,A0A259TUP4_9BACT,BSZ36_17455,NA,NA,NA,BSZ36_17455,Rubricoccus marinus,716817,Piwi domain-containing protein,UP000216446: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Rhodothermaeota, Rhodothermia, Rhodothermales, Rubricoccaceae, Rubricoccus, Rubricoccus marinus",NA
F6EYI8,F6EYI8_SPHCR,Sphch_1502,NA,NA,NA,Sphch_1502,Sphingobium chlorophenolicum L-1,690566,Stem cell self-renewal protein Piwi,UP000007150: Chromosome 1,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium, Sphingobium chlorophenolicum, Sphingobium chlorophenolicum L-1",NA
A0A2S9Q9J0,A0A2S9Q9J0_9RHIZ,C5L14_17255,NA,NA,NA,C5L14_17255,Labrys okinawensis,346911,Piwi domain-containing protein,UP000237682: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Labrys, Labrys okinawensis",NA
A0A4Q2UIU6,A0A4Q2UIU6_9BACT,EQG79_27980,NA,NA,NA,EQG79_27980,Spirosoma sordidisoli,2502893,Piwi domain-containing protein,UP000290407: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Spirosoma, Spirosoma sordidisoli",NA
A0A1H0LH25,A0A1H0LH25_9PSEU,SAMN05192558_104142,NA,NA,NA,SAMN05192558_104142,Actinokineospora alba,504798,Piwi domain-containing protein,UP000199651: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Pseudonocardiales, Pseudonocardiaceae, Actinokineospora, Actinokineospora alba",NA
A0A318LG42,A0A318LG42_9PSEU,BA062_36120,NA,NA,NA,BA062_36120,Prauserella sp. YIM 121212,1477506,Piwi domain-containing protein,UP000247892: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Pseudonocardiales, Pseudonocardiaceae, Prauserella, unclassified Prauserella, Prauserella sp. YIM 121212",NA
H1YCU5,H1YCU5_9SPHI,Mucpa_0938,NA,NA,NA,Mucpa_0938,Mucilaginibacter paludis DSM 18603,714943,Uncharacterized protein,UP000002774: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Mucilaginibacter, Mucilaginibacter paludis, Mucilaginibacter paludis DSM 18603",NA
D2VMG4,D2VMG4_NAEGR,NAEGRDRAFT_70125,NA,NA,NA,NAEGRDRAFT_70125,Naegleria gruberi (Amoeba),5762,Argonaute,UP000006671: Unassembled WGS sequence,"cellular organisms, Eukaryota, Discoba, Heterolobosea, Tetramitia, Eutetramitia, Vahlkampfiidae, Naegleria, Naegleria gruberi (Amoeba)",NA
L0JS08,L0JS08_NATP1,Natpe_4330 C488_20007,NA,NA,Natpe_4330,C488_20007,Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157),797303,Uncharacterized protein containing piwi/argonaute domain,"UP000010843: Plasmid pNATPE02, UP000011593: Unassembled WGS sequence","cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrinema, Natrinema pellirubrum, Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)",NA
A0A1Q5ZS75,A0A1Q5ZS75_9SPHI,RG47T_0025,NA,NA,NA,RG47T_0025,Mucilaginibacter polytrichastri,1302689,Uncharacterized protein,UP000186720: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Mucilaginibacter, Mucilaginibacter polytrichastri",NA
A0A345E7N0,A0A345E7N0_9EURY,DU500_17065,NA,NA,NA,DU500_17065,Haloplanus rubicundus,1547898,Piwi domain-containing protein,UP000253273: Plasmid pcba1113-01,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloplanus, Haloplanus rubicundus",NA
M0AF24,M0AF24_NATA1,C481_19946,NA,NA,NA,C481_19946,Natrialba asiatica (strain ATCC 700177 / DSM 12278 / JCM 9576 / FERM P-10747 / NBRC 102637 / 172P1),29540,Piwi domain-containing protein,UP000011554: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrialba, Natrialba asiatica, Natrialba asiatica (strain ATCC 700177 / DSM 12278 / JCM 9576 / FERM P-10747 / NBRC 102637 / 172P1)",NA
A0A074TLL7,A0A074TLL7_HAMHA,NA,NA,NA,NA,NA,Hammondia hammondi (Parasitic protozoan),NA,Deleted.,NA,"cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa, Conoidasida, Coccidia, Eucoccidiorida, Eimeriorina, Sarcocystidae, Hammondia, Hammondia hammondi (Parasitic protozoan)",NA
A0A1W2A082,A0A1W2A082_9SPHI,SAMN04488101_101208,NA,NA,NA,SAMN04488101_101208,Pedobacter nyackensis,475255,Piwi domain-containing protein,UP000192678: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, Pedobacter nyackensis",NA
A0A1H3X247,A0A1H3X247_9EURY,SAMN04488065_1259,NA,NA,NA,SAMN04488065_1259,Haloplanus vescus,555874,Piwi domain-containing protein,UP000236755: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloplanus, Haloplanus vescus",NA
A0A0C1XUA0,A0A0C1XUA0_9CYAN,NA,NA,NA,NA,NA,Hassallia byssoidea,NA,Deleted.,NA,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Tolypothrichaceae, Hassalia, Hassallia byssoidea",NA
M0D2X3,M0D2X3_9EURY,C474_13984,NA,NA,NA,C474_13984,Halogeometricum pallidum JCM 14848,1227487,Piwi domain-containing protein,UP000011513: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum, Halogeometricum pallidum, Halogeometricum pallidum JCM 14848",NA
A0A2R5G167,A0A2R5G167_NOSCO,NIES4072_71700,NA,NA,NA,NIES4072_71700,Nostoc commune NIES-4072,2005467,Stem cell self-renewal protein Piwi domain protein,UP000245124: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Nostocaceae, Nostoc, Nostoc commune, Nostoc commune NIES-4072",NA
A0A346PK63,A0A346PK63_9EURY,AArcMg_4083,NA,NA,NA,AArcMg_4083,Natrarchaeobaculum sulfurireducens,2044521,Inactivated PIWI domain containing phage-defense protein,UP000258613: Plasmid paarc-mg-01,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrarchaeobaculum, Natrarchaeobaculum sulfurireducens",NA
R7RTW6,R7RTW6_9CLOT,TCEL_00967,NA,NA,NA,TCEL_00967,Thermobrachium celere DSM 8682,941824,Piwi domain-containing protein,UP000014923: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Thermobrachium, Thermobrachium celere, Thermobrachium celere DSM 8682",NA
A0A1H2RBI2,A0A1H2RBI2_9BACT,NA,NA,NA,NA,NA,Hydrobacter penzbergensis,NA,Deleted.,NA,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Hydrobacter, Hydrobacter penzbergensis",NA
A0A1C3ZXN2,A0A1C3ZXN2_9BACT,GA0116948_101600,NA,NA,NA,GA0116948_101600,Chitinophaga costaii,1335309,Uncharacterized protein,UP000242818: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Chitinophaga, Chitinophaga costaii",NA
B9LVP8,B9LVP8_HALLT,Hlac_3230,NA,NA,NA,Hlac_3230,Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34),416348,Stem cell self-renewal protein Piwi domain protein,UP000000740: Chromosome 2,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, Halorubrum lacusprofundi, Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34)",NA
A0A0D1ZAJ4,A0A0D1ZAJ4_EXOME,PV10_05574,NA,NA,NA,PV10_05574,Exophiala mesophila (Black yeast),212818,Uncharacterized protein,UP000054302: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales (black yeasts), Herpotrichiellaceae, Exophiala, Exophiala mesophila (Black yeast)",NA
M5RSF0,M5RSF0_9BACT,RMSM_00799,NA,NA,NA,RMSM_00799,Rhodopirellula maiorica SM1,1265738,Stem cell self-renewal protein Piwi domain protein,UP000011991: Unassembled WGS sequence,"cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, Rhodopirellula, Rhodopirellula maiorica, Rhodopirellula maiorica SM1",NA
Q1K660,Q1K660_NEUCR,sms-2 NCU09434,sms-2,NA,NA,NCU09434,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,Meiotic silencing suppressor 2,"UP000001805: Chromosome 7, Linkage Group VII","cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Sordariaceae, Neurospora, Neurospora crassa, Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)",NA
F4PH46,F4PH46_CAVFA,agnD DFA_03276,agnD,NA,NA,DFA_03276,Cavenderia fasciculata (strain SH3) (Slime mold) (Dictyostelium fasciculatum),1054147,Uncharacterized protein agnD,UP000007797: Unassembled WGS sequence,"cellular organisms, Eukaryota, Amoebozoa, Evosea, Eumycetozoa, Dictyostelia (dictyostelid cellular slime molds), Acytosteliales, Cavenderiaceae, Cavenderia, Cavenderia fasciculata, Cavenderia fasciculata (strain SH3) (Slime mold) (Dictyostelium fasciculatum)",NA
